date,min,max,median,q1,q3,stdev,count
2021-03-06T00:00:00.000Z,0,0,0,0,0,0,1025
2021-03-07T00:00:00.000Z,0,1,0,0,0,0.167,1041
2021-03-08T00:00:00.000Z,0,2,0,0,0,0.287,1022
2021-03-09T00:00:00.000Z,0,4,0,0,3,1.56,1038
2021-03-10T00:00:00.000Z,0,4,3,2,4,1.12,997
2021-03-11T00:00:00.000Z,0,29,4,1,16,8.715,956
2021-03-12T00:00:00.000Z,0,11,2,0,5,3.219,978
2021-03-13T00:00:00.000Z,0,4,1,1,3,1.254,968
2021-03-14T00:00:00.000Z,0,4,1,0,3,1.572,979
2021-03-15T00:00:00.000Z,0,4,1,0,3,1.352,866
2021-03-16T00:00:00.000Z,0,4,0,0,3,1.631,919
2021-03-17T00:00:00.000Z,0,4,1,0,1,0.888,943
2021-03-18T00:00:00.000Z,0,2,0,0,0,0.473,937
2021-03-19T00:00:00.000Z,0,4,0,0,0,0.685,972
2021-03-20T00:00:00.000Z,0,4,0,0,1,0.937,956
2021-03-21T00:00:00.000Z,0,3,0,0,0,0.361,908
2021-03-22T00:00:00.000Z,0,4,0,0,0,1.016,954
2021-03-23T00:00:00.000Z,0,4,0,0,0,0.904,1024
2021-03-24T00:00:00.000Z,0,7,4,3,4,1.238,925
2021-03-25T00:00:00.000Z,0,4,2,0,3,1.511,939
2021-03-26T00:00:00.000Z,0,16,4,3,8,3.584,877
2021-03-27T00:00:00.000Z,1,56,12,8,34,15.058,846
2021-03-28T00:00:00.000Z,0,30,0,0,1,7.466,662
2021-03-29T00:00:00.000Z,0,4,0,0,1,1.084,664
2021-03-30T00:00:00.000Z,0,2,0,0,0,0.41,660
2021-03-31T00:00:00.000Z,0,4,0,0,2,1.181,674
2021-04-01T00:00:00.000Z,0,3,0,0,0,0.572,660
2021-04-02T00:00:00.000Z,0,3,0,0,0,0.813,681
2021-04-03T00:00:00.000Z,0,4,0,0,1,1.168,708
2021-04-04T00:00:00.000Z,0,4,0,0,1,1.382,702
2021-04-05T00:00:00.000Z,0,4,0,0,0,1.046,695
2021-04-06T00:00:00.000Z,0,4,0,0,1,1.137,668
2021-04-07T00:00:00.000Z,0,3,0,0,0,0.616,633
2021-04-08T00:00:00.000Z,0,4,0,0,1,1.342,659
2021-04-09T00:00:00.000Z,0,4,0,0,0,1.071,638
2021-04-10T00:00:00.000Z,0,4,0,0,2,1.442,1044
2021-04-11T00:00:00.000Z,0,4,0,0,0,0.463,1181
2021-04-12T00:00:00.000Z,0,6,0,0,3,1.653,1230
2021-04-13T00:00:00.000Z,0,4,0,0,0,1.33,1197
2021-04-14T00:00:00.000Z,0,3,0,0,0,0.619,1200
2021-04-15T00:00:00.000Z,0,4,0,0,1,1.239,1241
2021-04-16T00:00:00.000Z,0,4,0,0,0,0.865,1178
2021-04-17T00:00:00.000Z,0,4,0,0,1,0.95,1203
2021-04-18T00:00:00.000Z,0,4,0,0,1,0.92,1201
2021-04-19T00:00:00.000Z,0,4,1,0,2,1.051,1197
2021-04-20T00:00:00.000Z,0,4,0,0,1,0.906,1225
2021-04-21T00:00:00.000Z,0,8,2,0,3,1.736,1212
2021-04-22T00:00:00.000Z,0,4,0,0,0,1.189,1185
2021-04-23T00:00:00.000Z,0,4,0,0,2,1.423,1226
2021-04-24T00:00:00.000Z,0,0,0,0,0,0,1234
2021-04-25T00:00:00.000Z,0,0,0,0,0,0,1166
2021-04-26T00:00:00.000Z,0,1,0,0,0,0.142,1173
2021-04-27T00:00:00.000Z,0,3,0,0,0,0.614,1206
2021-04-28T00:00:00.000Z,0,4,0,0,0,0.932,1157
2021-04-29T00:00:00.000Z,0,4,0,0,0,1.139,1262
2021-04-30T00:00:00.000Z,0,24,0,0,0,1.972,1196
2021-05-01T00:00:00.000Z,0,4,0,0,0,0.846,1195
2021-05-02T00:00:00.000Z,0,7,0,0,0,1.389,1207
2021-05-03T00:00:00.000Z,0,4,0,0,0,0.864,1227
2021-05-04T00:00:00.000Z,0,4,0,0,2,1.51,1211
2021-05-05T00:00:00.000Z,0,4,0,0,1,1.402,1202
2021-05-06T00:00:00.000Z,0,1,0,0,0,0.147,1182
2021-05-07T00:00:00.000Z,0,57,0,0,1,5.372,1212
